OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
34572,1968,CA,USF,SQF, ,0,1989/05/27 00:00:00+00,1989/05/29 00:00:00+00,9,,160,230.52078,8,1,10,5390.105315,-1413704.617
34573,1968,CA,USF,SQF,CALKINS,0,1989/09/03 00:00:00+00,1989/09/05 00:00:00+00,9,,600,555.0672,8,1,95,7963.595741,-3432370.43
34574,1968,CA,USF,KNF,GARNER,0,1989/09/08 00:00:00+00,1989/09/10 00:00:00+00,5,,80.5,52.929153,8,1,103,2970.771685,-383742.5078
34575,1968,CA,USF,ANF, ,0,1990/05/08 00:00:00+00,1990/05/09 00:00:00+00,7,,40,43.215225,8,1,8,2041.174358,-256161.7127
34576,1968,CA,USF,BDF, ,0,1972/01/15 00:00:00+00,1972/01/18 00:00:00+00,7,,111,104.25703,8,1,1,4137.758616,-618358.7124
34577,1968,CA,USF,BDF, ,0,1972/07/19 00:00:00+00,1972/07/19 00:00:00+00,8,,18,35.372372,8,1,111,1988.142904,-209653.7464
34578,1968,CA,USF,ENF, ,0,1972/08/07 00:00:00+00,1972/08/08 00:00:00+00,7,,190,209.02617,8,1,46,6146.477644,-1392431.337
34579,1968,CA,USF,SRF, ,0,1973/07/16 00:00:00+00,1973/07/17 00:00:00+00,2,,29,28.877672,8,1,17,1593.838557,-201637.5503
34580,1968,CA,USF,KNF,BEAR,0,1973/07/19 00:00:00+00,1973/07/23 00:00:00+00,1,,16,7.6320391,8,1,182,954.1040708,-55856.68302
34581,1968,CA,USF,INF, ,0,1972/07/18 00:00:00+00,1972/07/19 00:00:00+00,1,,50,62.981636,8,1,91,3354.23663,-402244.6201
34582,1968,CA,USF,LNF, ,0,1972/08/08 00:00:00+00,1972/08/09 00:00:00+00,1,,120,252.24629,8,1,57,5546.328657,-1787981.917
34583,1968,CA,USF,LPF, ,0,1974/07/21 00:00:00+00,1974/07/21 00:00:00+00,7,,1800,2652.2009,8,1,51,18541.84558,-16607183.96
34584,1968,CA,CCO,KRN,COWBOY,1217096,2012/06/07 00:00:00+00,2012/06/07 00:00:00+00,14,,0.7,0.78177106,1,1,,368.9687536,-4771.876389
34585,1968,CA,CCO,KRN,EDMONSTON,1218758,2012/06/22 00:00:00+00,2012/06/22 00:00:00+00,14,,13.09,13.108104,1,1,,3795.868045,-79147.64559
34586,1968,CA,CCO,KRN,EMIGDIO,1219717,2012/06/29 00:00:00+00,2012/06/29 00:00:00+00,14,alt inc # 1586,150,173.27191,1,1,,4798.880579,-1045048.629
34587,1968,CA,CCO,KRN,GRAPEVINE,1218491,2012/06/18 00:00:00+00,2012/06/18 00:00:00+00,14,Alt Fed inc# 018491,214,206.09883,1,1,,7063.686729,-1243084.994
34588,1968,CA,CCO,KRN,HILL,1218764,2012/06/21 00:00:00+00,2012/06/21 00:00:00+00,14,,14.5,14.685063,1,1,,1720.608691,-89037.22831
34589,1968,CA,CCO,KRN,HISTORY,1223853,2012/07/30 00:00:00+00,2012/07/30 00:00:00+00,14,,0.75,0.31963056,1,1,,323.3976298,-1926.529833
34590,1968,CA,CCO,KRN,HOOPER,1237018,2012/11/24 00:00:00+00,2012/11/24 00:00:00+00,14,,4.16,4.3334951,1,1,,1029.368526,-26562.45099
