abbreviation,population
OK,3594090
OK,894761
OK,3548597
OK,885316
OK,3504892
OK,883959
OK,3525233
OK,881606
OK,3489080
OK,884961
OK,3467100
OK,885218
OK,3437148
OK,895678
OK,3454365
OK,891847
OK,3372918
OK,893835
OK,898501
OK,3405194
OK,887093
OK,3340129
OK,3308208
OK,883667
OK,877803
OK,3280940
OK,862548
OK,3220517
OK,3252285
OK,870137
OK,3175440
OK,849639
OK,841715
OK,3148825
OR,742436
OR,2860375
OR,2928507
OR,752442
OR,3060367
OR,778973
OR,770191
OR,2991755
OR,793435
OR,3121264
OR,3184369
OR,806512
OR,816102
OR,3247111
OR,837928
OR,3352449
OR,3304310
OR,830002
OR,3429708
OR,847511
OR,3393941
OR,843484
OR,3467937
OR,848663
OR,3513424
OR,850733
OR,3569463
OR,846786
OR,3547376
OR,850251
OR,3613202
OR,849323
OR,3670883
OR,857003
OR,3768748
OR,865664
OR,3722417
OR,862161
OR,857606
OR,3930065
OR,3808600
OR,866194
OR,3837208
OR,865129
OR,862518
OR,3867937
OR,859910
OR,3899801
PA,12764475
PA,2737905
PA,12741310
PA,2761343
PA,2785316
PA,12710472
PA,12666858
PA,2804929
PA,12773801
PA,2715645
PA,12563937
PA,2839574
PA,12612285
PA,2821004
PA,12510809
PA,2850778
PA,12449990
PA,2859793
PA,12374658
PA,2883270
PA,12410722
PA,2873125
PA,12331031
PA,2894935
PA,12298970
PA,2905836
PA,12263805
PA,2930193
PA,12284173
PA,2918850
PA,12227814
PA,2942240
PA,2940285
PA,12245672
PA,2937411
PA,12220464
PA,12198403
PA,2941531
PA,2932851
PA,12166050
PA,2873013
PA,12049450
PA,12119724
PA,2907351
PA,11982164
PA,2830059
PA,2799168
PA,11903299
RI,225923
RI,1005995
RI,1010649
RI,229448
RI,1015113
RI,237218
RI,232630
RI,1012581
RI,239100
RI,1015960
RI,1017002
RI,240553
RI,240569
RI,1020893
RI,241760
RI,1031155
RI,1025353
RI,242079
RI,1050268
RI,248065
RI,1040402
RI,247014
RI,1057142
RI,248296
RI,1065995
RI,248690
RI,1074579
RI,246228
RI,1071342
RI,248075
RI,1067916
RI,241932
RI,1063096
RI,237348
RI,1055003
RI,229798
RI,1057315
RI,233655
RI,213987
RI,1051511
RI,1053646
RI,225902
RI,1052669
RI,223088
RI,219783
RI,1050350
RI,216591
RI,1050304
SC,4723417
SC,1077455
SC,4673509
SC,1076524
SC,1079978
SC,4636361
SC,4589872
SC,1079729
SC,4774839
SC,1079798
SC,4444110
SC,1064190
SC,4528996
SC,1074116
SC,4357847
SC,1050042
SC,4270150
SC,1036941
SC,4150297
SC,1023785
SC,4210921
SC,1029111
SC,4107795
SC,1020531
SC,4064995
SC,1016134
SC,3974682
SC,1007050
SC,4024223
SC,1010641
SC,3859696
SC,1001681
SC,1006371
SC,3919235
SC,987576
SC,3796200
SC,3748582
SC,975884
SC,969766
SC,3705397
SC,947868
SC,3620464
SC,3663314
SC,956951
SC,3570404
SC,936122
SC,921041
SC,3501155
SD,199453
SD,697101
SD,703669
SD,201749
SD,722160
SD,207975
SD,206632
SD,712801
SD,208443
SD,730790
SD,737926
SD,207890
SD,205780
SD,742214
SD,204786
SD,746059
SD,744223
SD,205978
SD,755844
SD,202681
SD,750413
SD,203737
SD,757972
SD,200795
SD,760020
SD,198694
SD,770396
SD,196804
SD,763729
SD,197326
SD,775493
SD,196476
SD,783033
SD,197332
SD,799124
SD,199848
SD,791623
SD,198847
SD,207959
SD,844877
SD,807067
SD,201204
SD,816211
SD,203145
SD,203948
SD,823772
SD,205298
SD,834047
TN,6454914
TN,1492689
TN,6398361
TN,1491837
TN,1495090
TN,6356683
TN,6306019
TN,1494687
TN,6495978
TN,1491577
TN,6175727
TN,1482747
TN,6247411
TN,1494354
TN,6088766
TN,1470166
TN,5991057
TN,1449326
TN,5847812
TN,1424861
TN,5910809
TN,1433343
TN,5795918
TN,1414857
TN,5750789
TN,1407578
TN,5638706
TN,1385997
TN,5703719
TN,1399685
TN,5499233
TN,1359030
TN,1369987
TN,5570045
TN,1345723
TN,5416643
TN,5326936
TN,1331616
TN,1310988
TN,5231438
TN,1259458
TN,5049742
TN,5137584
TN,1285044
TN,4966587
TN,1233260
TN,1220200
TN,4894492
TX,4906220
TX,17056755
TX,17398005
TX,5000793
TX,18161612
TX,5217899
TX,5109805
TX,17759738
TX,5331524
TX,18564062
TX,18958751
TX,5421784
