OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
30894,1961,CA,CDF,LNU,E. PROCTOR,0,1961/07/08 00:00:00+00,,14,,,876.74689,,1,69,13881.51553,-5774870.452
30895,1961,CA,CDF,TCU,GARLAND,0,1961/10/14 00:00:00+00,,14,,,576.42676,,1,143,9997.465394,-3793833.889
30896,1969,CA,USF,SRF,SMOKER,0,1969/10/04 00:00:00+00,,4,,,2.4891703,,1,479,477.3491004,-18086.54124
30897,1969,CA,USF,SRF,DEAD,0,1969/07/23 00:00:00+00,,1,,,6.9705348,,1,300528,787.0713844,-49171.28141
30898,1969,CA,USF,SRF,OLD,0,1969/07/23 00:00:00+00,,1,,,3.5847394,,1,300529,564.2746835,-25273.43511
30899,1969,CA,USF,SRF,MADDEN,0,1969/07/24 00:00:00+00,,1,,,6.3728213,,1,300535,753.7385249,-45094.61842
30900,1969,CA,USF,SRF,CEDAR,0,1969/07/24 00:00:00+00,,1,,,8.2650843,,1,300538,859.7985175,-58678.17051
30901,1969,CA,USF,SRF,GRIZZLY,0,1969/07/25 00:00:00+00,,1,,,4.9789605,,1,300541,667.9591621,-35414.65574
30902,1976,CA,CCO,VNC,DECKER,0,1976/07/04 00:00:00+00,,14,,,155.76952,,1,0,3874.291833,-922387.6327
30903,1976,CA,CDF,SLU,WILLOW RD.,0,1976/06/19 00:00:00+00,,14,,,936.65106,,1,132,11438.14154,-5665379.188
30904,1976,CA,USF,LPF,NACIMIENTO,0,1976/04/20 00:00:00+00,1976/04/21 00:00:00+00,5,,155,265.0177,8,1,15,6006.290854,-1641910.196
30905,1976,CA,USF,LPF,INDIANS,0,1976/05/29 00:00:00+00,1976/06/03 00:00:00+00,3,,11100,9908.9717,8,1,21,41000.74528,-61550704.74
30906,1976,CA,USF,CNF, ,0,,,9,,,173.98158,,1,123,6664.41238,-1009927.389
30907,1976,CA,USF,BDF, ,0,,,14,,,102.39571,,1,0,4348.036694,-604561.4147
30917,2001,CA,CCO,VNC,WALNUT INCIDENT,35777,2001/07/10 00:00:00+00,,14,,,36.434967,,1,0,2385.410132,-216615.068
30918,2001,CA,CCO,VNC,CREEK INCIDENT,52068,2001/09/30 00:00:00+00,,14,,,28.313669,,1,0,1798.223009,-168820.6257
30919,1996,CA,USF,ANF,FENCE,3293,1996/06/09 00:00:00+00,1996/06/09 00:00:00+00,9,,11,11.203826,8,1,88,2066.503415,-67223.38858
30920,1981,CA,CDF,RRU,CAWSTON,17934,1981/09/13 00:00:00+00,,14,,,721.43726,,1,1272,10625.31354,-4228923.214
30921,1981,CA,CDF,RRU,BARBER,11148,1981/06/15 00:00:00+00,,9,,,12162.825,,1,597,70842.44299,-70956215.41
30922,1981,CA,CDF,RRU,CHERRY #2,10059,1981/06/02 00:00:00+00,,5,,,396.59338,,1,512,6737.679177,-2334830.772
30923,1981,CA,CDF,RRU,TYRE,10998,1981/06/14 00:00:00+00,,14,,,697.22357,,1,576,9637.548744,-4109256.583
30924,1981,CA,CDF,RRU,MORONGO 28,15019,1981/08/04 00:00:00+00,,14,,,440.38727,,1,1015,6842.927667,-2597313.502
30925,1981,CA,CDF,RRU,MICHEAL,11331,,,14,,,1153.6267,,1,629,13221.86233,-6778172.175
30926,1981,CA,CDF,RRU, ,0,,,14,,,226.46045,,1,0,4714.641328,-1333316.356
30927,1981,CA,CDF,RRU,DAWSON,11355,1981/06/17 00:00:00+00,,9,,,7999.5044,,1,635,31671.55244,-46961398.33
30928,1981,CA,CCO,VNC,LOMA,0,1981/06/15 00:00:00+00,,14,,,376.43372,,1,0,7415.452515,-2236971.68
